title;year;mileage;price;city;link
BMW M5 Standard;2006;130 500 km;67 900PLN;Miedziana Góra;https://www.otomoto.pl/oferta/bmw-m5-m5-5-0-v10-ID6E9stN.html#7cf6fa925a
BMW M5;2021;14 km;699 900PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-m5-competition-625km-reflektory-laserowe-funkcja-masazu-przod-hak-ID6DJZ9v.html#7cf6fa925a
BMW M5 Competition;2021;10 km;795 400PLN;Gdynia;https://www.otomoto.pl/oferta/bmw-m5-m5-competition-m-xdrive-individual-ID6Edp2M.html#7cf6fa925a
BMW M5 Competition;2019;35 000 km;458 789PLN;Gdynia;https://www.otomoto.pl/oferta/bmw-m5-m5-competition-35-jahre-cena-netto-ID6Dykug.html#7cf6fa925a
BMW M5 Competition;2020;16 058 km;679 971PLN;Katowice;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-competition-cesja-ID6EaXB9.html#7cf6fa925a
BMW M5;2007;80 507 km;100 000PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-e60-hartge-dahler-ID6DQX6s.html#7cf6fa925a
BMW M5 Competition;2019;69 000 km;492 000PLN;Katowice;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-competition-cesja-leasing-najem-ID6E3eDm.html#7cf6fa925a
BMW M5;2019;35 000 km;200 900PLN;Nawojowa;https://www.otomoto.pl/oferta/bmw-m5-competition-pali-jezdzi-ID6D63vc.html#7cf6fa925a
BMW M5 Standard;2006;131 000 km;112 000PLN;Kraków;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-e60-krakow-ID6CLEaP.html#7cf6fa925a
BMW M5 DKG;2013;85 237 km;169 999PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-m5-4-4-560-km-serwis-aso-pelna-dokumentacja-ID6E65qB.html#7cf6fa925a
BMW M5 Standard;2013;113 000 km;145 000PLN;Parczew;https://www.otomoto.pl/oferta/bmw-m5-560km-ID6DPK0I.html#7cf6fa925a
BMW M5 DKG;2013;99 200 km;169 000PLN;Warszawa;https://www.otomoto.pl/oferta/bmw-m5-m5-stan-idealny-ceramika-domykanie-head-up-ID6E7GYp.html#7cf6fa925a
BMW M5;2012;105 000 km;145 000PLN;Białystok;https://www.otomoto.pl/oferta/bmw-m5-head-up-kamery-360-soft-close-mozliwa-zamiana-ID6E6pPd.html#7cf6fa925a
BMW M5;2013;65 000 km;190 000PLN;Nowogrodziec;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-indyvidual-mod-2014-mega-stan-eisemann-ID6Dsaxb.html#7cf6fa925a
BMW M5;2015;125 000 km;185 000PLN;Pruszków;https://www.otomoto.pl/oferta/bmw-m5-m-550-xdrive-ID6EauDf.html#7cf6fa925a
BMW M5 Standard;2018;19 000 km;169 000PLN;Poznań;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-f90-ID6Eaups.html#7cf6fa925a
BMW M5;2013;159 000 km;158 000PLN;Karczew;https://www.otomoto.pl/oferta/bmw-m5-bmw-m5-560km-lift-f-vat-bezwypadkowy-ew-zamiana-europa-ID6E8X3n.html#7cf6fa925a
BMW M5 Competition;2019;19 000 km;509 220PLN;Ciche;https://www.otomoto.pl/oferta/bmw-m5-competition-salon-pl-ID6DDLDX.html#7cf6fa925a
BMW M5 Competition;2019;19 900 km;539 900PLN;Mikołów;https://www.otomoto.pl/oferta/bmw-m5-bmw-sikora-m5-competition-individual-ID6E2Zuc.html#7cf6fa925a
